epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5451,0.67506,1.57295,2.61415,0.93228,0.03,1,0.93438,0.80958,0.03,1,0.93491,0.7874,0.4701,0.96261,2.30047,0.80986,0.00048,0.00048,0.00048
2,22.0775,0.77066,1.49423,1.96622,0.94149,1,0.35748,0.9462,0.73703,1,0.35748,0.94984,0.75312,0.642,1.21559,2.08989,0.86761,0.000970298,0.000970298,0.000970298
3,28.2431,0.76509,1.25655,1.56519,0.93867,0.95052,0.88501,0.96529,0.74077,0.95052,0.88501,0.96387,0.79551,0.75067,1.23999,1.35035,0.90171,0.0014507,0.0014507,0.0014507
4,34.2838,0.85271,1.32936,1.30311,0.95626,0.87311,0.87639,0.94474,0.72101,0.87632,0.87805,0.94733,0.75374,0.78072,1.43314,1.04114,0.93784,0.00192119,0.00192119,0.00192119
5,44.079,0.79795,1.2717,1.2034,0.9619,0.78155,0.9187,0.82915,0.68468,0.77697,0.91574,0.82858,0.67535,0.60032,1.30512,1.1037,0.93078,0.0019208,0.0019208,0.0019208
6,50.6375,0.72705,1.29199,1.11708,0.96267,0.8984,0.81301,0.91704,0.76674,0.88305,0.79404,0.88951,0.66438,0.56552,2.13585,1.40264,0.87968,0.001901,0.001901,0.001901
7,57.0554,0.80325,1.49108,1.28241,0.94627,0.91569,0.94193,0.97178,0.82927,0.91414,0.94309,0.96963,0.77585,0.54348,1.4715,0.89147,0.86156,0.0018812,0.0018812,0.0018812
8,62.9335,0.78778,1.41884,1.17743,0.96222,0.89581,0.93199,0.95169,0.81407,0.89935,0.93767,0.95342,0.80532,0.55277,1.10624,0.88941,0.85281,0.0018614,0.0018614,0.0018614
9,69.9704,0.76237,1.31461,1.04262,0.9221,0.90956,0.89944,0.94959,0.81081,0.90683,0.89687,0.94809,0.80001,0.56828,1.15301,0.85294,0.87023,0.0018416,0.0018416,0.0018416
10,78.7398,0.77387,1.46795,1.03439,0.94206,0.92018,0.87482,0.95813,0.83486,0.92018,0.87482,0.95982,0.75949,0.53519,1.28941,0.81622,0.85567,0.0018218,0.0018218,0.0018218
11,85.2981,0.69575,1.23526,0.98341,0.93769,0.94815,0.9187,0.9789,0.85908,0.94815,0.9187,0.97824,0.79735,0.51052,1.19516,0.76155,0.84472,0.001802,0.001802,0.001802
12,92.7559,0.74518,1.29833,0.94963,0.91914,0.94205,0.92521,0.97621,0.87433,0.94205,0.92521,0.97594,0.83145,0.46528,1.09613,0.74644,0.84431,0.0017822,0.0017822,0.0017822
13,99.4592,0.78969,1.40879,0.98235,0.93616,0.94687,0.91768,0.97863,0.85637,0.94132,0.91297,0.97834,0.82919,0.50549,1.10378,0.74895,0.85111,0.0017624,0.0017624,0.0017624
14,105.47,0.75377,1.35538,0.87963,0.91958,0.9234,0.88203,0.94657,0.8457,0.9234,0.88203,0.94555,0.81453,0.49529,0.98963,0.83224,0.85059,0.0017426,0.0017426,0.0017426
15,117.398,0.72685,1.2494,0.94233,0.93664,0.95393,0.92683,0.98295,0.86324,0.95393,0.92683,0.98147,0.81482,0.48388,1.13125,0.72894,0.83921,0.0017228,0.0017228,0.0017228
16,123.971,0.6899,1.19004,0.85123,0.90061,0.93524,0.91057,0.97054,0.84698,0.93524,0.91057,0.97052,0.78972,0.5063,1.27847,0.7893,0.86327,0.001703,0.001703,0.001703
17,134.912,0.63605,1.11322,0.79383,0.88752,0.95697,0.95935,0.98661,0.88513,0.95697,0.95935,0.98651,0.83681,0.45071,0.97735,0.65141,0.84039,0.0016832,0.0016832,0.0016832
18,144.765,0.63874,1.15383,0.81432,0.90244,0.96361,0.96477,0.9882,0.89996,0.96361,0.96477,0.9882,0.84743,0.42361,0.96151,0.61872,0.82859,0.0016634,0.0016634,0.0016634
19,152.483,0.64513,1.14073,0.74908,0.89501,0.97766,0.94893,0.98953,0.90054,0.97766,0.94893,0.98953,0.83794,0.41286,0.99393,0.60304,0.81753,0.0016436,0.0016436,0.0016436
20,158.666,0.59723,1.08151,0.71223,0.88553,0.95491,0.95393,0.98493,0.89235,0.95491,0.95393,0.98519,0.8287,0.4323,1.05109,0.61382,0.82491,0.0016238,0.0016238,0.0016238
21,165.441,0.65295,1.21281,0.76329,0.8849,0.96646,0.95122,0.98915,0.89875,0.96646,0.95122,0.98915,0.8513,0.41116,0.88037,0.57411,0.82507,0.001604,0.001604,0.001604
22,173.121,0.60326,1.13391,0.74349,0.88212,0.98363,0.97712,0.99329,0.8871,0.98363,0.97712,0.99195,0.85319,0.45416,0.90224,0.53835,0.84552,0.0015842,0.0015842,0.0015842
23,178.671,0.60196,1.02662,0.70427,0.90129,0.96797,0.98645,0.99298,0.90552,0.96797,0.98645,0.99298,0.86249,0.40619,0.84647,0.52718,0.81969,0.0015644,0.0015644,0.0015644
24,184.616,0.57775,1.0581,0.66752,0.87363,0.9431,0.95122,0.97703,0.88381,0.9431,0.95122,0.9776,0.84066,0.41516,0.86978,0.59101,0.82193,0.0015446,0.0015446,0.0015446
25,194.501,0.62971,1.1081,0.68005,0.87922,0.95655,0.95453,0.9826,0.90173,0.9538,0.95122,0.98231,0.83593,0.42331,1.00506,0.54863,0.82538,0.0015248,0.0015248,0.0015248
26,200.642,0.58984,0.98953,0.6964,0.88527,0.97099,0.96206,0.99189,0.91259,0.96819,0.95935,0.99147,0.87056,0.386,0.83669,0.50613,0.81378,0.001505,0.001505,0.001505
27,211.752,0.55693,1.04614,0.62284,0.87801,0.97085,0.97019,0.99099,0.91241,0.96814,0.96748,0.99049,0.85406,0.38575,0.85466,0.48587,0.81251,0.0014852,0.0014852,0.0014852
28,224.249,0.5696,1.08258,0.59184,0.87557,0.97278,0.9686,0.98817,0.91515,0.97278,0.9686,0.98817,0.84811,0.3801,0.86014,0.47326,0.81685,0.0014654,0.0014654,0.0014654
29,235.026,0.60641,1.12944,0.64976,0.86825,0.98838,0.97561,0.98892,0.91561,0.98838,0.97561,0.98892,0.86543,0.38018,0.86062,0.44892,0.81762,0.0014456,0.0014456,0.0014456
30,240.658,0.52978,0.9304,0.59768,0.88514,0.9806,0.95878,0.98277,0.89886,0.9806,0.95878,0.98288,0.8445,0.40277,0.95003,0.47598,0.82666,0.0014258,0.0014258,0.0014258
31,250.646,0.5525,1.09901,0.62217,0.8768,0.97512,0.95611,0.98909,0.91998,0.97789,0.95882,0.98947,0.86878,0.37264,0.87476,0.46025,0.81798,0.001406,0.001406,0.001406
32,257.627,0.57511,1.03026,0.66373,0.89252,0.97542,0.97561,0.98924,0.92371,0.97542,0.97561,0.98992,0.8672,0.36793,0.86908,0.45818,0.81621,0.0013862,0.0013862,0.0013862
33,263.359,0.51847,0.97442,0.58712,0.87236,0.9507,0.94062,0.98289,0.90553,0.95076,0.94181,0.9831,0.82562,0.3767,1.02259,0.491,0.82521,0.0013664,0.0013664,0.0013664
34,271.057,0.54676,1.04432,0.58097,0.8692,0.94897,0.93767,0.98342,0.91125,0.94079,0.94729,0.98362,0.8485,0.36043,0.88883,0.50637,0.81718,0.0013466,0.0013466,0.0013466
35,276.83,0.5701,1.03543,0.592,0.87867,0.93587,0.9492,0.98019,0.90513,0.93853,0.95174,0.97942,0.85537,0.38101,0.82913,0.50315,0.81798,0.0013268,0.0013268,0.0013268
36,282.37,0.57416,1.05825,0.57192,0.87641,0.95237,0.94309,0.98312,0.90641,0.95455,0.9458,0.98333,0.8527,0.38866,0.90275,0.51377,0.82425,0.001307,0.001307,0.001307
37,287.918,0.53139,1.00871,0.57048,0.86862,0.95707,0.96667,0.9837,0.89697,0.95164,0.95992,0.98199,0.83987,0.38934,0.98732,0.51269,0.82565,0.0012872,0.0012872,0.0012872
38,296.12,0.57285,1.13298,0.54945,0.85741,0.973,0.97675,0.99007,0.91421,0.973,0.97675,0.99053,0.86146,0.35929,0.8286,0.43074,0.81721,0.0012674,0.0012674,0.0012674
39,303.768,0.54207,1.08958,0.54956,0.86585,0.96758,0.97065,0.99012,0.92013,0.96752,0.9688,0.99067,0.86928,0.35068,0.76318,0.42836,0.81745,0.0012476,0.0012476,0.0012476
40,308.939,0.51653,1.02925,0.5326,0.8555,0.94304,0.9423,0.97606,0.91059,0.94304,0.9423,0.97575,0.8509,0.3607,0.84973,0.48691,0.81908,0.0012278,0.0012278,0.0012278
41,316.06,0.46387,0.93222,0.50881,0.84843,0.95911,0.96748,0.98817,0.93344,0.96179,0.97019,0.98855,0.86914,0.32871,0.85295,0.41297,0.80844,0.001208,0.001208,0.001208
42,323.003,0.50152,0.96673,0.49973,0.85879,0.98894,0.96935,0.99246,0.92969,0.98894,0.96935,0.99246,0.86494,0.33685,0.87528,0.37455,0.80481,0.0011882,0.0011882,0.0011882
